"Age.group" "Age.label" "Province" "Year" "Obs" "Pop"
10 "[80-85)" 10 1988 8 5531
11 "[85,85+)" 10 1988 7 3634
1 "[0-40)" 11 1988 7 348804
2 "[40-45)" 11 1988 1 29734
3 "[45-50)" 11 1988 11 25341
4 "[50-55)" 11 1988 16 26199
5 "[55-60)" 11 1988 17 25599
6 "[60-65)" 11 1988 7 21875
7 "[65-70)" 11 1988 12 18031
8 "[70-75)" 11 1988 12 14501
9 "[75-80)" 11 1988 8 11701
10 "[80-85)" 11 1988 6 7525
11 "[85,85+)" 11 1988 8 4613
1 "[0-40)" 12 1988 1 122204
2 "[40-45)" 12 1988 2 13339
3 "[45-50)" 12 1988 1 11811
4 "[50-55)" 12 1988 1 12491
5 "[55-60)" 12 1988 2 13428
6 "[60-65)" 12 1988 4 12992
7 "[65-70)" 12 1988 8 11685
8 "[70-75)" 12 1988 16 9479
9 "[75-80)" 12 1988 6 8181
10 "[80-85)" 12 1988 6 5459
11 "[85,85+)" 12 1988 6 3417
1 "[0-40)" 13 1988 2 134472
2 "[40-45)" 13 1988 3 12263
3 "[45-50)" 13 1988 8 11819
4 "[50-55)" 13 1988 5 13925
5 "[55-60)" 13 1988 11 15378
6 "[60-65)" 13 1988 4 14615
7 "[65-70)" 13 1988 6 12622
8 "[70-75)" 13 1988 4 10847
9 "[75-80)" 13 1988 8 8927
10 "[80-85)" 13 1988 1 5565
11 "[85,85+)" 13 1988 6 3552
1 "[0-40)" 14 1988 0 223731
2 "[40-45)" 14 1988 4 19841
3 "[45-50)" 14 1988 11 18674
4 "[50-55)" 14 1988 6 21006
5 "[55-60)" 14 1988 11 22170
6 "[60-65)" 14 1988 9 20351
7 "[65-70)" 14 1988 12 17614
8 "[70-75)" 14 1988 11 14500
9 "[75-80)" 14 1988 11 12375
10 "[80-85)" 14 1988 6 8142
11 "[85,85+)" 14 1988 8 5144
1 "[0-40)" 15 1988 6 303151
2 "[40-45)" 15 1988 6 36152
3 "[45-50)" 15 1988 8 30918
4 "[50-55)" 15 1988 12 34798
5 "[55-60)" 15 1988 17 35847
6 "[60-65)" 15 1988 30 31061
7 "[65-70)" 15 1988 22 27950
8 "[70-75)" 15 1988 21 24403
9 "[75-80)" 15 1988 13 20396
10 "[80-85)" 15 1988 18 14057
11 "[85,85+)" 15 1988 14 10259
1 "[0-40)" 16 1988 0 52581
2 "[40-45)" 16 1988 1 4730
3 "[45-50)" 16 1988 7 5359
4 "[50-55)" 16 1988 1 6431
5 "[55-60)" 16 1988 9 7182
6 "[60-65)" 16 1988 5 7155
7 "[65-70)" 16 1988 5 6509
8 "[70-75)" 16 1988 0 5550
9 "[75-80)" 16 1988 6 4752
10 "[80-85)" 16 1988 1 3022
11 "[85,85+)" 16 1988 0 1907
1 "[0-40)" 17 1988 3 139087
2 "[40-45)" 17 1988 4 14848
3 "[45-50)" 17 1988 7 12278
4 "[50-55)" 17 1988 9 13461
5 "[55-60)" 17 1988 3 15196
6 "[60-65)" 17 1988 16 14442
7 "[65-70)" 17 1988 12 13082
8 "[70-75)" 17 1988 9 10271
9 "[75-80)" 17 1988 10 8812
10 "[80-85)" 17 1988 4 5601
11 "[85,85+)" 17 1988 2 3574
1 "[0-40)" 18 1988 3 237891
2 "[40-45)" 18 1988 0 21184
3 "[45-50)" 18 1988 7 19588
4 "[50-55)" 18 1988 13 22005
5 "[55-60)" 18 1988 10 23408
6 "[60-65)" 18 1988 13 20964
7 "[65-70)" 18 1988 14 17575
8 "[70-75)" 18 1988 5 13866
9 "[75-80)" 18 1988 14 11766
10 "[80-85)" 18 1988 4 7424
11 "[85,85+)" 18 1988 4 4570
1 "[0-40)" 19 1988 2 37973
2 "[40-45)" 19 1988 1 3495
3 "[45-50)" 19 1988 2 3073
4 "[50-55)" 19 1988 1 3978
5 "[55-60)" 19 1988 3 4598
6 "[60-65)" 19 1988 2 4588
7 "[65-70)" 19 1988 0 4173
8 "[70-75)" 19 1988 0 3417
9 "[75-80)" 19 1988 1 3095
10 "[80-85)" 19 1988 0 2285
11 "[85,85+)" 19 1988 3 1437
1 "[0-40)" 20 1988 6 197745
2 "[40-45)" 20 1988 4 23466
3 "[45-50)" 20 1988 3 19141
4 "[50-55)" 20 1988 7 19993
5 "[55-60)" 20 1988 19 20542
6 "[60-65)" 20 1988 19 18110
7 "[65-70)" 20 1988 10 15049
8 "[70-75)" 20 1988 7 12388
9 "[75-80)" 20 1988 25 10381
10 "[80-85)" 20 1988 13 7002
11 "[85,85+)" 20 1988 3 4451
1 "[0-40)" 21 1988 1 131976
2 "[40-45)" 21 1988 2 11710
3 "[45-50)" 21 1988 2 10731
4 "[50-55)" 21 1988 9 11913
5 "[55-60)" 21 1988 8 12008
6 "[60-65)" 21 1988 10 10813
7 "[65-70)" 21 1988 1 9615
8 "[70-75)" 21 1988 7 8477
9 "[75-80)" 21 1988 1 7245
10 "[80-85)" 21 1988 11 4688
11 "[85,85+)" 21 1988 0 2895
1 "[0-40)" 22 1988 5 51605
2 "[40-45)" 22 1988 3 5695
3 "[45-50)" 22 1988 1 4908
4 "[50-55)" 22 1988 0 6044
5 "[55-60)" 22 1988 11 7204
6 "[60-65)" 22 1988 10 7270
7 "[65-70)" 22 1988 5 6630
8 "[70-75)" 22 1988 4 5120
9 "[75-80)" 22 1988 5 4556
10 "[80-85)" 22 1988 1 3108
11 "[85,85+)" 22 1988 3 2012
1 "[0-40)" 23 1988 2 189593
2 "[40-45)" 23 1988 2 16386
3 "[45-50)" 23 1988 12 15801
4 "[50-55)" 23 1988 4 18267
5 "[55-60)" 23 1988 7 19936
6 "[60-65)" 23 1988 2 17842
7 "[65-70)" 23 1988 7 14469
8 "[70-75)" 23 1988 5 12004
9 "[75-80)" 23 1988 9 10190
10 "[80-85)" 23 1988 8 6779
11 "[85,85+)" 23 1988 5 4083
1 "[0-40)" 24 1988 3 138747
2 "[40-45)" 24 1988 2 14142
3 "[45-50)" 24 1988 3 13526
4 "[50-55)" 24 1988 7 16669
5 "[55-60)" 24 1988 22 19142
6 "[60-65)" 24 1988 8 17906
7 "[65-70)" 24 1988 7 15284
8 "[70-75)" 24 1988 2 12341
9 "[75-80)" 24 1988 6 10478
10 "[80-85)" 24 1988 6 6834
11 "[85,85+)" 24 1988 5 4578
1 "[0-40)" 25 1988 9 92289
2 "[40-45)" 25 1988 2 10476
3 "[45-50)" 25 1988 0 8784
4 "[50-55)" 25 1988 5 10084
5 "[55-60)" 25 1988 7 11776
6 "[60-65)" 25 1988 1 11355
7 "[65-70)" 25 1988 9 10294
8 "[70-75)" 25 1988 7 8653
9 "[75-80)" 25 1988 11 6928
10 "[80-85)" 25 1988 5 4470
11 "[85,85+)" 25 1988 4 2630
1 "[0-40)" 26 1988 6 70967
2 "[40-45)" 26 1988 4 7844
3 "[45-50)" 26 1988 2 6776
4 "[50-55)" 26 1988 0 7482
5 "[55-60)" 26 1988 1 8227
6 "[60-65)" 26 1988 2 8053
7 "[65-70)" 26 1988 1 7034
8 "[70-75)" 26 1988 1 5739
9 "[75-80)" 26 1988 5 4851
10 "[80-85)" 26 1988 6 3267
11 "[85,85+)" 26 1988 1 2053
1 "[0-40)" 27 1988 6 90994
2 "[40-45)" 27 1988 8 10567
3 "[45-50)" 27 1988 3 10803
4 "[50-55)" 27 1988 7 12976
5 "[55-60)" 27 1988 5 14371
6 "[60-65)" 27 1988 11 14308
7 "[65-70)" 27 1988 7 13493
8 "[70-75)" 27 1988 0 11669
9 "[75-80)" 27 1988 4 9655
10 "[80-85)" 27 1988 5 6562
11 "[85,85+)" 27 1988 5 4488
1 "[0-40)" 28 1988 26 1483914
2 "[40-45)" 28 1988 53 170342
3 "[45-50)" 28 1988 38 141835
4 "[50-55)" 28 1988 65 141727
5 "[55-60)" 28 1988 67 141082
6 "[60-65)" 28 1988 82 125065
7 "[65-70)" 28 1988 78 103788
8 "[70-75)" 28 1988 39 84336
9 "[75-80)" 28 1988 73 68436
10 "[80-85)" 28 1988 28 44747
11 "[85,85+)" 28 1988 36 31420
1 "[0-40)" 29 1988 10 350579
2 "[40-45)" 29 1988 9 33725
3 "[45-50)" 29 1988 8 28872
4 "[50-55)" 29 1988 6 30366
5 "[55-60)" 29 1988 18 29632
6 "[60-65)" 29 1988 11 26939
7 "[65-70)" 29 1988 9 23173
8 "[70-75)" 29 1988 9 17966
9 "[75-80)" 29 1988 16 14664
10 "[80-85)" 29 1988 13 9030
11 "[85,85+)" 29 1988 15 5355
1 "[0-40)" 30 1988 4 317438
2 "[40-45)" 30 1988 13 28485
3 "[45-50)" 30 1988 7 25737
4 "[50-55)" 30 1988 19 27900
5 "[55-60)" 30 1988 18 28715
6 "[60-65)" 30 1988 14 26555
7 "[65-70)" 30 1988 9 20950
8 "[70-75)" 30 1988 13 16386
9 "[75-80)" 30 1988 12 13667
10 "[80-85)" 30 1988 7 9284
11 "[85,85+)" 30 1988 7 6206
1 "[0-40)" 31 1988 2 145049
2 "[40-45)" 31 1988 8 16420
3 "[45-50)" 31 1988 5 13479
4 "[50-55)" 31 1988 4 13834
5 "[55-60)" 31 1988 8 14843
6 "[60-65)" 31 1988 14 14431
7 "[65-70)" 31 1988 10 12947
8 "[70-75)" 31 1988 10 10903
9 "[75-80)" 31 1988 6 9114
10 "[80-85)" 31 1988 2 5983
11 "[85,85+)" 31 1988 6 3997
1 "[0-40)" 32 1988 0 88352
2 "[40-45)" 32 1988 3 11321
3 "[45-50)" 32 1988 1 10474
4 "[50-55)" 32 1988 4 12311
5 "[55-60)" 32 1988 8 13736
6 "[60-65)" 32 1988 2 13253
7 "[65-70)" 32 1988 8 12430
8 "[70-75)" 32 1988 5 11303
9 "[75-80)" 32 1988 3 9457
10 "[80-85)" 32 1988 3 6499
11 "[85,85+)" 32 1988 5 4294
1 "[0-40)" 33 1988 7 298438
2 "[40-45)" 33 1988 6 35546
3 "[45-50)" 33 1988 5 28004
4 "[50-55)" 33 1988 19 33943
5 "[55-60)" 33 1988 18 38053
6 "[60-65)" 33 1988 17 36044
7 "[65-70)" 33 1988 20 31291
8 "[70-75)" 33 1988 23 25780
9 "[75-80)" 33 1988 24 21666
10 "[80-85)" 33 1988 1 14628
11 "[85,85+)" 33 1988 17 9513
1 "[0-40)" 34 1988 0 50174
2 "[40-45)" 34 1988 0 4828
3 "[45-50)" 34 1988 0 4233
4 "[50-55)" 34 1988 2 4983
5 "[55-60)" 34 1988 5 6238
6 "[60-65)" 34 1988 2 6178
7 "[65-70)" 34 1988 0 5460
8 "[70-75)" 34 1988 0 4489
9 "[75-80)" 34 1988 1 3854
10 "[80-85)" 34 1988 4 2662
11 "[85,85+)" 34 1988 6 1816
1 "[0-40)" 35 1988 10 250294
2 "[40-45)" 35 1988 10 21568
3 "[45-50)" 35 1988 1 18245
4 "[50-55)" 35 1988 14 18875
5 "[55-60)" 35 1988 8 17592
6 "[60-65)" 35 1988 20 13875
7 "[65-70)" 35 1988 11 11076
8 "[70-75)" 35 1988 13 9265
9 "[75-80)" 35 1988 12 7219
10 "[80-85)" 35 1988 5 4601
11 "[85,85+)" 35 1988 5 3086
1 "[0-40)" 36 1988 0 265022
2 "[40-45)" 36 1988 3 28901
3 "[45-50)" 36 1988 8 23982
4 "[50-55)" 36 1988 7 26755
5 "[55-60)" 36 1988 12 26338
6 "[60-65)" 36 1988 13 23377
7 "[65-70)" 36 1988 18 21192
8 "[70-75)" 36 1988 15 18035
9 "[75-80)" 36 1988 13 15337
10 "[80-85)" 36 1988 6 10077
11 "[85,85+)" 36 1988 13 6705
1 "[0-40)" 37 1988 5 96088
2 "[40-45)" 37 1988 0 9648
3 "[45-50)" 37 1988 2 9263
4 "[50-55)" 37 1988 6 10856
5 "[55-60)" 37 1988 6 11863
6 "[60-65)" 37 1988 7 11539
7 "[65-70)" 37 1988 3 10356
8 "[70-75)" 37 1988 10 8815
9 "[75-80)" 37 1988 4 7806
10 "[80-85)" 37 1988 8 5297
11 "[85,85+)" 37 1988 1 3914
1 "[0-40)" 38 1988 7 226302
2 "[40-45)" 38 1988 3 21033
3 "[45-50)" 38 1988 6 18643
4 "[50-55)" 38 1988 13 19373
5 "[55-60)" 38 1988 11 18444
6 "[60-65)" 38 1988 12 15251
7 "[65-70)" 38 1988 7 12317
8 "[70-75)" 38 1988 6 10769
9 "[75-80)" 38 1988 4 8751
10 "[80-85)" 38 1988 6 5614
11 "[85,85+)" 38 1988 5 3426
1 "[0-40)" 39 1988 3 149758
2 "[40-45)" 39 1988 1 15643
3 "[45-50)" 39 1988 4 12702
4 "[50-55)" 39 1988 3 14492
5 "[55-60)" 39 1988 7 16163
6 "[60-65)" 39 1988 12 15435
7 "[65-70)" 39 1988 9 13249
8 "[70-75)" 39 1988 20 11334
9 "[75-80)" 39 1988 1 9425
10 "[80-85)" 39 1988 2 6382
11 "[85,85+)" 39 1988 3 4414
1 "[0-40)" 40 1988 4 38259
2 "[40-45)" 40 1988 2 3657
3 "[45-50)" 40 1988 1 3529
4 "[50-55)" 40 1988 1 4387
5 "[55-60)" 40 1988 3 5075
6 "[60-65)" 40 1988 1 4980
7 "[65-70)" 40 1988 0 4206
8 "[70-75)" 40 1988 0 3558
9 "[75-80)" 40 1988 9 3035
10 "[80-85)" 40 1988 2 2195
11 "[85,85+)" 40 1988 2 1570
1 "[0-40)" 41 1988 9 499525
2 "[40-45)" 41 1988 16 46571
3 "[45-50)" 41 1988 10 40178
4 "[50-55)" 41 1988 27 41214
5 "[55-60)" 41 1988 15 42289
6 "[60-65)" 41 1988 30 37716
7 "[65-70)" 41 1988 15 32473
8 "[70-75)" 41 1988 28 26204
9 "[75-80)" 41 1988 21 21092
10 "[80-85)" 41 1988 19 13312
11 "[85,85+)" 41 1988 12 8438
1 "[0-40)" 42 1988 0 22822
2 "[40-45)" 42 1988 0 2308
3 "[45-50)" 42 1988 3 2227
4 "[50-55)" 42 1988 0 2878
5 "[55-60)" 42 1988 0 3470
6 "[60-65)" 42 1988 1 3341
7 "[65-70)" 42 1988 1 3050
8 "[70-75)" 42 1988 0 2760
9 "[75-80)" 42 1988 1 2582
10 "[80-85)" 42 1988 0 1884
11 "[85,85+)" 42 1988 3 1294
1 "[0-40)" 43 1988 3 150455
2 "[40-45)" 43 1988 2 16385
3 "[45-50)" 43 1988 7 13463
4 "[50-55)" 43 1988 6 14587
5 "[55-60)" 43 1988 13 15917
6 "[60-65)" 43 1988 7 15445
7 "[65-70)" 43 1988 9 13458
8 "[70-75)" 43 1988 9 11152
9 "[75-80)" 43 1988 0 9114
10 "[80-85)" 43 1988 4 6128
11 "[85,85+)" 43 1988 10 3990
1 "[0-40)" 44 1988 3 34304
2 "[40-45)" 44 1988 1 3602
3 "[45-50)" 44 1988 0 3297
4 "[50-55)" 44 1988 2 4563
5 "[55-60)" 44 1988 4 5224
6 "[60-65)" 44 1988 0 5228
7 "[65-70)" 44 1988 2 4739
8 "[70-75)" 44 1988 0 4154
9 "[75-80)" 44 1988 0 3627
10 "[80-85)" 44 1988 1 2590
11 "[85,85+)" 44 1988 0 1798
1 "[0-40)" 45 1988 7 134016
2 "[40-45)" 45 1988 5 12781
3 "[45-50)" 45 1988 7 11758
4 "[50-55)" 45 1988 10 13519
5 "[55-60)" 45 1988 8 15259
6 "[60-65)" 45 1988 5 14593
7 "[65-70)" 45 1988 5 12927
8 "[70-75)" 45 1988 7 10695
9 "[75-80)" 45 1988 8 9174
10 "[80-85)" 45 1988 4 6001
11 "[85,85+)" 45 1988 4 4040
1 "[0-40)" 46 1988 5 615974
2 "[40-45)" 46 1988 8 65581
3 "[45-50)" 46 1988 19 58211
4 "[50-55)" 46 1988 38 60043
5 "[55-60)" 46 1988 35 62431
6 "[60-65)" 46 1988 30 59017
7 "[65-70)" 46 1988 30 50350
8 "[70-75)" 46 1988 29 40544
9 "[75-80)" 46 1988 32 33300
10 "[80-85)" 46 1988 28 21095
11 "[85,85+)" 46 1988 21 12823
1 "[0-40)" 47 1988 1 145972
2 "[40-45)" 47 1988 8 16178
3 "[45-50)" 47 1988 4 13245
4 "[50-55)" 47 1988 6 13595
5 "[55-60)" 47 1988 4 13531
6 "[60-65)" 47 1988 3 13019
7 "[65-70)" 47 1988 5 10625
8 "[70-75)" 47 1988 12 8756
9 "[75-80)" 47 1988 8 7478
10 "[80-85)" 47 1988 7 5177
11 "[85,85+)" 47 1988 5 3741
1 "[0-40)" 48 1988 7 338638
2 "[40-45)" 48 1988 15 38779
3 "[45-50)" 48 1988 9 32869
4 "[50-55)" 48 1988 17 36171
5 "[55-60)" 48 1988 34 37136
6 "[60-65)" 48 1988 17 32533
7 "[65-70)" 48 1988 22 25655
8 "[70-75)" 48 1988 14 20170
9 "[75-80)" 48 1988 23 16784
10 "[80-85)" 48 1988 7 11281
11 "[85,85+)" 48 1988 12 7772
1 "[0-40)" 49 1988 0 51485
2 "[40-45)" 49 1988 0 5386
3 "[45-50)" 49 1988 1 5583
4 "[50-55)" 49 1988 4 7001
5 "[55-60)" 49 1988 7 8293
6 "[60-65)" 49 1988 2 7976
7 "[65-70)" 49 1988 0 7086
8 "[70-75)" 49 1988 2 6523
9 "[75-80)" 49 1988 7 5467
10 "[80-85)" 49 1988 0 3650
11 "[85,85+)" 49 1988 1 2551
1 "[0-40)" 50 1988 5 224791
2 "[40-45)" 50 1988 7 26505
3 "[45-50)" 50 1988 6 23043
4 "[50-55)" 50 1988 14 25141
5 "[55-60)" 50 1988 19 27604
6 "[60-65)" 50 1988 18 26181
7 "[65-70)" 50 1988 23 23446
8 "[70-75)" 50 1988 6 18852
9 "[75-80)" 50 1988 12 15315
10 "[80-85)" 50 1988 10 10321
11 "[85,85+)" 50 1988 13 7010
1 "[0-40)" 1 1989 0 80890
2 "[40-45)" 1 1989 3 9501
3 "[45-50)" 1 1989 4 7763
4 "[50-55)" 1 1989 5 7177
5 "[55-60)" 1 1989 7 7315
6 "[60-65)" 1 1989 3 6334
7 "[65-70)" 1 1989 3 5319
8 "[70-75)" 1 1989 0 4228
9 "[75-80)" 1 1989 7 3552
10 "[80-85)" 1 1989 4 2383
11 "[85,85+)" 1 1989 11 1679
1 "[0-40)" 2 1989 0 98699
2 "[40-45)" 2 1989 10 8866
3 "[45-50)" 2 1989 3 8352
4 "[50-55)" 2 1989 2 9289
5 "[55-60)" 2 1989 7 10396
6 "[60-65)" 2 1989 3 10004
7 "[65-70)" 2 1989 3 8526
8 "[70-75)" 2 1989 3 6685
9 "[75-80)" 2 1989 5 5527
10 "[80-85)" 2 1989 3 3586
11 "[85,85+)" 2 1989 2 2365
1 "[0-40)" 3 1989 14 379587
2 "[40-45)" 3 1989 14 38292
3 "[45-50)" 3 1989 11 33862
4 "[50-55)" 3 1989 9 33696
5 "[55-60)" 3 1989 14 35652
6 "[60-65)" 3 1989 7 34632
7 "[65-70)" 3 1989 18 30581
8 "[70-75)" 3 1989 16 22858
9 "[75-80)" 3 1989 9 17573
10 "[80-85)" 3 1989 21 11676
11 "[85,85+)" 3 1989 14 7770
1 "[0-40)" 4 1989 2 140358
2 "[40-45)" 4 1989 2 12370
3 "[45-50)" 4 1989 2 10526
4 "[50-55)" 4 1989 3 11020
5 "[55-60)" 4 1989 4 12200
6 "[60-65)" 4 1989 2 10937
7 "[65-70)" 4 1989 3 9317
8 "[70-75)" 4 1989 4 7141
9 "[75-80)" 4 1989 3 6065
10 "[80-85)" 4 1989 5 4158
11 "[85,85+)" 4 1989 3 2779
1 "[0-40)" 5 1989 0 43599
2 "[40-45)" 5 1989 0 4397
3 "[45-50)" 5 1989 5 4161
4 "[50-55)" 5 1989 3 4773
5 "[55-60)" 5 1989 4 5774
6 "[60-65)" 5 1989 2 6115
7 "[65-70)" 5 1989 0 5696
8 "[70-75)" 5 1989 1 4504
9 "[75-80)" 5 1989 0 3968
10 "[80-85)" 5 1989 3 2769
11 "[85,85+)" 5 1989 4 2039
1 "[0-40)" 6 1989 2 187245
2 "[40-45)" 6 1989 3 16782
3 "[45-50)" 6 1989 9 15415
4 "[50-55)" 6 1989 1 17722
5 "[55-60)" 6 1989 13 19843
6 "[60-65)" 6 1989 8 18528
7 "[65-70)" 6 1989 7 16632
8 "[70-75)" 6 1989 7 13336
9 "[75-80)" 6 1989 11 11692
10 "[80-85)" 6 1989 5 8129
11 "[85,85+)" 6 1989 4 5323
1 "[0-40)" 7 1989 6 201861
2 "[40-45)" 7 1989 8 22538
3 "[45-50)" 7 1989 10 18837
4 "[50-55)" 7 1989 9 18073
5 "[55-60)" 7 1989 12 19166
6 "[60-65)" 7 1989 15 18480
7 "[65-70)" 7 1989 10 16866
8 "[70-75)" 7 1989 7 14209
9 "[75-80)" 7 1989 29 11808
10 "[80-85)" 7 1989 5 8105
11 "[85,85+)" 7 1989 7 5635
1 "[0-40)" 8 1989 34 1314856
2 "[40-45)" 8 1989 58 160358
3 "[45-50)" 8 1989 55 135585
4 "[50-55)" 8 1989 65 134342
5 "[55-60)" 8 1989 110 142256
6 "[60-65)" 8 1989 73 132034
7 "[65-70)" 8 1989 95 114894
8 "[70-75)" 8 1989 103 90358
9 "[75-80)" 8 1989 100 75411
10 "[80-85)" 8 1989 99 51520
11 "[85,85+)" 8 1989 74 35636
1 "[0-40)" 9 1989 1 93876
2 "[40-45)" 9 1989 0 10014
3 "[45-50)" 9 1989 2 8826
4 "[50-55)" 9 1989 3 9418
5 "[55-60)" 9 1989 0 10984
6 "[60-65)" 9 1989 3 11449
7 "[65-70)" 9 1989 1 10144
8 "[70-75)" 9 1989 9 7875
9 "[75-80)" 9 1989 2 6866
10 "[80-85)" 9 1989 1 4671
11 "[85,85+)" 9 1989 6 3300
1 "[0-40)" 10 1989 0 113851
2 "[40-45)" 10 1989 3 10157
3 "[45-50)" 10 1989 4 9857
4 "[50-55)" 10 1989 4 11548
5 "[55-60)" 10 1989 8 13792
6 "[60-65)" 10 1989 5 12835
7 "[65-70)" 10 1989 5 11184
8 "[70-75)" 10 1989 11 8851
9 "[75-80)" 10 1989 6 8265
10 "[80-85)" 10 1989 7 5685
11 "[85,85+)" 10 1989 1 3793
1 "[0-40)" 11 1989 2 349055
2 "[40-45)" 11 1989 0 30230
3 "[45-50)" 11 1989 4 26004
4 "[50-55)" 11 1989 14 25695
5 "[55-60)" 11 1989 11 26038
6 "[60-65)" 11 1989 14 22369
7 "[65-70)" 11 1989 12 18621
8 "[70-75)" 11 1989 17 14748
9 "[75-80)" 11 1989 11 11845
10 "[80-85)" 11 1989 8 7706
11 "[85,85+)" 11 1989 9 4858
1 "[0-40)" 12 1989 3 122084
2 "[40-45)" 12 1989 2 13527
3 "[45-50)" 12 1989 0 12114
4 "[50-55)" 12 1989 7 12102
5 "[55-60)" 12 1989 12 13380
6 "[60-65)" 12 1989 3 13023
7 "[65-70)" 12 1989 8 12030
8 "[70-75)" 12 1989 3 9558
9 "[75-80)" 12 1989 9 8241
10 "[80-85)" 12 1989 10 5598
11 "[85,85+)" 12 1989 5 3625
1 "[0-40)" 13 1989 0 133633
2 "[40-45)" 13 1989 5 12395
3 "[45-50)" 13 1989 3 11637
4 "[50-55)" 13 1989 0 13332
5 "[55-60)" 13 1989 10 15194
6 "[60-65)" 13 1989 3 14777
7 "[65-70)" 13 1989 10 13067
8 "[70-75)" 13 1989 6 10866
9 "[75-80)" 13 1989 6 9045
10 "[80-85)" 13 1989 3 5704
11 "[85,85+)" 13 1989 5 3718
1 "[0-40)" 14 1989 5 223507
2 "[40-45)" 14 1989 7 19901
3 "[45-50)" 14 1989 6 18817
4 "[50-55)" 14 1989 7 20099
5 "[55-60)" 14 1989 9 22211
6 "[60-65)" 14 1989 7 20746
7 "[65-70)" 14 1989 9 18109
8 "[70-75)" 14 1989 6 14612
9 "[75-80)" 14 1989 16 12473
10 "[80-85)" 14 1989 10 8375
11 "[85,85+)" 14 1989 1 5451
1 "[0-40)" 15 1989 11 300578
2 "[40-45)" 15 1989 13 36394
3 "[45-50)" 15 1989 15 31799
4 "[50-55)" 15 1989 16 33112
5 "[55-60)" 15 1989 20 36355
6 "[60-65)" 15 1989 15 31785
7 "[65-70)" 15 1989 19 28461
8 "[70-75)" 15 1989 19 24675
9 "[75-80)" 15 1989 19 20464
10 "[80-85)" 15 1989 7 14359
11 "[85,85+)" 15 1989 17 10740
1 "[0-40)" 16 1989 0 51781
2 "[40-45)" 16 1989 0 4760
3 "[45-50)" 16 1989 4 5172
4 "[50-55)" 16 1989 13 6155
5 "[55-60)" 16 1989 4 7127
6 "[60-65)" 16 1989 2 7206
7 "[65-70)" 16 1989 8 6642
8 "[70-75)" 16 1989 2 5477
9 "[75-80)" 16 1989 7 4753
10 "[80-85)" 16 1989 0 3135
11 "[85,85+)" 16 1989 3 2004
1 "[0-40)" 17 1989 4 139878
2 "[40-45)" 17 1989 7 15328
3 "[45-50)" 17 1989 2 12634
4 "[50-55)" 17 1989 4 12899
5 "[55-60)" 17 1989 17 15160
6 "[60-65)" 17 1989 12 14638
7 "[65-70)" 17 1989 11 13393
8 "[70-75)" 17 1989 11 10450
9 "[75-80)" 17 1989 12 8931
10 "[80-85)" 17 1989 8 5943
11 "[85,85+)" 17 1989 4 3848
1 "[0-40)" 18 1989 0 237743
2 "[40-45)" 18 1989 5 21362
3 "[45-50)" 18 1989 8 19678
4 "[50-55)" 18 1989 4 21232
5 "[55-60)" 18 1989 5 23529
6 "[60-65)" 18 1989 13 21371
7 "[65-70)" 18 1989 18 18230
8 "[70-75)" 18 1989 3 14105
9 "[75-80)" 18 1989 7 11749
10 "[80-85)" 18 1989 10 7598
11 "[85,85+)" 18 1989 6 4793
1 "[0-40)" 19 1989 1 37735
2 "[40-45)" 19 1989 0 3590
3 "[45-50)" 19 1989 1 3071
4 "[50-55)" 19 1989 0 3767
5 "[55-60)" 19 1989 0 4544
6 "[60-65)" 19 1989 2 4576
7 "[65-70)" 19 1989 7 4296
8 "[70-75)" 19 1989 7 3441
9 "[75-80)" 19 1989 3 3091
10 "[80-85)" 19 1989 0 2306
11 "[85,85+)" 19 1989 0 1552
1 "[0-40)" 20 1989 11 193978
2 "[40-45)" 20 1989 9 23636
3 "[45-50)" 20 1989 4 19787
4 "[50-55)" 20 1989 3 19212
5 "[55-60)" 20 1989 11 20634
6 "[60-65)" 20 1989 12 18438
7 "[65-70)" 20 1989 15 15507
8 "[70-75)" 20 1989 14 12535
9 "[75-80)" 20 1989 7 10556
10 "[80-85)" 20 1989 13 7251
11 "[85,85+)" 20 1989 11 4808
1 "[0-40)" 21 1989 0 132376
2 "[40-45)" 21 1989 0 11958
3 "[45-50)" 21 1989 3 10858
4 "[50-55)" 21 1989 2 11377
5 "[55-60)" 21 1989 8 12224
6 "[60-65)" 21 1989 1 10938
7 "[65-70)" 21 1989 7 9834
8 "[70-75)" 21 1989 5 8456
9 "[75-80)" 21 1989 7 7280
10 "[80-85)" 21 1989 4 4792
11 "[85,85+)" 21 1989 4 3043
1 "[0-40)" 22 1989 0 51134
2 "[40-45)" 22 1989 5 5704
3 "[45-50)" 22 1989 2 5063
4 "[50-55)" 22 1989 4 5656
5 "[55-60)" 22 1989 11 7056
6 "[60-65)" 22 1989 7 7225
7 "[65-70)" 22 1989 1 6798
8 "[70-75)" 22 1989 1 5265
9 "[75-80)" 22 1989 1 4601
10 "[80-85)" 22 1989 4 3150
11 "[85,85+)" 22 1989 7 2143
1 "[0-40)" 23 1989 7 188440
2 "[40-45)" 23 1989 10 16225
3 "[45-50)" 23 1989 5 15559
4 "[50-55)" 23 1989 3 17660
5 "[55-60)" 23 1989 6 19822
6 "[60-65)" 23 1989 3 18252
7 "[65-70)" 23 1989 3 15015
8 "[70-75)" 23 1989 2 12028
9 "[75-80)" 23 1989 6 10088
10 "[80-85)" 23 1989 7 6885
11 "[85,85+)" 23 1989 2 4310
