"Age.group" "Age.label" "Province" "Year" "Obs" "Pop"
4 "[50-55)" 15 1985 23 37380
5 "[55-60)" 15 1985 7 33760
6 "[60-65)" 15 1985 13 29310
7 "[65-70)" 15 1985 11 26606
8 "[70-75)" 15 1985 18 23991
9 "[75-80)" 15 1985 17 19727
10 "[80-85)" 15 1985 16 13092
11 "[85,85+)" 15 1985 9 9073
1 "[0-40)" 16 1985 0 54417
2 "[40-45)" 16 1985 0 4747
3 "[45-50)" 16 1985 0 6130
4 "[50-55)" 16 1985 4 7103
5 "[55-60)" 16 1985 3 7081
6 "[60-65)" 16 1985 2 6930
7 "[65-70)" 16 1985 2 6225
8 "[70-75)" 16 1985 1 5866
9 "[75-80)" 16 1985 2 4580
10 "[80-85)" 16 1985 2 2713
11 "[85,85+)" 16 1985 0 1630
1 "[0-40)" 17 1985 6 136975
2 "[40-45)" 17 1985 5 12921
3 "[45-50)" 17 1985 5 12433
4 "[50-55)" 17 1985 12 14746
5 "[55-60)" 17 1985 6 15052
6 "[60-65)" 17 1985 8 13701
7 "[65-70)" 17 1985 10 12132
8 "[70-75)" 17 1985 10 10090
9 "[75-80)" 17 1985 10 8207
10 "[80-85)" 17 1985 8 4747
11 "[85,85+)" 17 1985 5 2891
1 "[0-40)" 18 1985 3 237474
2 "[40-45)" 18 1985 6 20061
3 "[45-50)" 18 1985 9 20659
4 "[50-55)" 18 1985 6 23640
5 "[55-60)" 18 1985 5 22417
6 "[60-65)" 18 1985 11 19651
7 "[65-70)" 18 1985 5 15857
8 "[70-75)" 18 1985 10 13758
9 "[75-80)" 18 1985 9 11437
10 "[80-85)" 18 1985 3 6872
11 "[85,85+)" 18 1985 0 3965
1 "[0-40)" 19 1985 3 38341
2 "[40-45)" 19 1985 2 3232
3 "[45-50)" 19 1985 0 3314
4 "[50-55)" 19 1985 2 4504
5 "[55-60)" 19 1985 4 4591
6 "[60-65)" 19 1985 0 4538
7 "[65-70)" 19 1985 2 3862
8 "[70-75)" 19 1985 3 3448
9 "[75-80)" 19 1985 1 3022
10 "[80-85)" 19 1985 0 2171
11 "[85,85+)" 19 1985 0 1122
1 "[0-40)" 20 1985 6 207249
2 "[40-45)" 20 1985 0 21534
3 "[45-50)" 20 1985 12 19154
4 "[50-55)" 20 1985 8 21430
5 "[55-60)" 20 1985 13 19803
6 "[60-65)" 20 1985 10 16788
7 "[65-70)" 20 1985 11 13908
8 "[70-75)" 20 1985 13 12201
9 "[75-80)" 20 1985 13 9588
10 "[80-85)" 20 1985 5 6222
11 "[85,85+)" 20 1985 5 3553
1 "[0-40)" 21 1985 0 130341
2 "[40-45)" 21 1985 1 10723
3 "[45-50)" 21 1985 2 11161
4 "[50-55)" 21 1985 4 12984
5 "[55-60)" 21 1985 6 11186
6 "[60-65)" 21 1985 5 10417
7 "[65-70)" 21 1985 3 9108
8 "[70-75)" 21 1985 5 8779
9 "[75-80)" 21 1985 4 6951
10 "[80-85)" 21 1985 3 4348
11 "[85,85+)" 21 1985 0 2537
1 "[0-40)" 22 1985 2 52922
2 "[40-45)" 22 1985 2 5395
3 "[45-50)" 22 1985 1 5073
4 "[50-55)" 22 1985 1 6986
5 "[55-60)" 22 1985 1 7437
6 "[60-65)" 22 1985 1 7326
7 "[65-70)" 22 1985 6 6047
8 "[70-75)" 22 1985 0 4907
9 "[75-80)" 22 1985 2 4396
10 "[80-85)" 22 1985 4 2910
11 "[85,85+)" 22 1985 1 1682
1 "[0-40)" 23 1985 5 192109
2 "[40-45)" 23 1985 3 16365
3 "[45-50)" 23 1985 4 17471
4 "[50-55)" 23 1985 8 19663
5 "[55-60)" 23 1985 4 19566
6 "[60-65)" 23 1985 6 16523
7 "[65-70)" 23 1985 4 13119
8 "[70-75)" 23 1985 7 12343
9 "[75-80)" 23 1985 4 10164
10 "[80-85)" 23 1985 7 6397
11 "[85,85+)" 23 1985 1 3476
1 "[0-40)" 24 1985 3 140868
2 "[40-45)" 24 1985 5 13730
3 "[45-50)" 24 1985 3 14828
4 "[50-55)" 24 1985 4 18840
5 "[55-60)" 24 1985 3 19026
6 "[60-65)" 24 1985 26 16767
7 "[65-70)" 24 1985 5 13701
8 "[70-75)" 24 1985 8 12103
9 "[75-80)" 24 1985 6 9797
10 "[80-85)" 24 1985 2 6246
11 "[85,85+)" 24 1985 1 3733
1 "[0-40)" 25 1985 3 93750
2 "[40-45)" 25 1985 6 9696
3 "[45-50)" 25 1985 2 9134
4 "[50-55)" 25 1985 4 11495
5 "[55-60)" 25 1985 7 12001
6 "[60-65)" 25 1985 10 11001
7 "[65-70)" 25 1985 9 9555
8 "[70-75)" 25 1985 2 8609
9 "[75-80)" 25 1985 8 6496
10 "[80-85)" 25 1985 6 4020
11 "[85,85+)" 25 1985 0 2108
1 "[0-40)" 26 1985 3 71813
2 "[40-45)" 26 1985 3 7257
3 "[45-50)" 26 1985 2 6785
4 "[50-55)" 26 1985 1 8250
5 "[55-60)" 26 1985 9 8190
6 "[60-65)" 26 1985 6 7667
7 "[65-70)" 26 1985 8 6282
8 "[70-75)" 26 1985 2 5656
9 "[75-80)" 26 1985 5 4517
10 "[80-85)" 26 1985 5 2820
11 "[85,85+)" 26 1985 0 1698
1 "[0-40)" 27 1985 2 94403
2 "[40-45)" 27 1985 6 10449
3 "[45-50)" 27 1985 6 12278
4 "[50-55)" 27 1985 6 14339
5 "[55-60)" 27 1985 12 14186
6 "[60-65)" 27 1985 6 14545
7 "[65-70)" 27 1985 2 13108
8 "[70-75)" 27 1985 2 11576
9 "[75-80)" 27 1985 10 9133
10 "[80-85)" 27 1985 3 5931
11 "[85,85+)" 27 1985 1 3950
